Category,Function Name,Arguments,Result Type,Explanation,Examples
Dates,IsWeekday,(Date d),Boolean,"Returns true if d is a weekday, otherwise false.","IsWeekday([Deliver On]) returns true if the date in the Deliver On field is a weekday. If not, the result is false."
,,,,,
,,,,,"IsWeekday(ToDate(""6/20/2003"")) returns true"
Dates,LastDayOfMonth,(Date d),Date,Returns the last day of the month in which the date falls.,LastDayOfMonth([Service Date]) returns the date of the last day of the month in which the Service Date occurs.
,,,,,
,,,,,"LastDayOfMonth(ToDate(""2/12/2008"")) returns "
,,,,,2/29/2008
Dates,LastDayOfPeriod,"(Date d, Duration p, Date r)",Date,"Returns the last day of the period in which the date falls. The cycle of periods is defined by the given Duration p, repeated in sequence starting at the given reference date r. If the period p is not a whole number of days, the fractional part is ignored.","LastDayOfPeriod([Payment Date], [Quarter Length in Days], [Fiscal Year Start Date]) returns the last day of the quarter in which the Payment Date falls."
Dates,LastDayOfWeek,(Date d),Date,Returns the last day (Saturday) of the week in which the date falls.,LastDayOfWeek([Date A]) + Days(1) returns the Sunday date of the week that follows the one in which Date A falls.
Dates,LastDayOfYear,(Date d),Date,Returns the last day of the year in which the date falls.,LastDayOfYear([Registration Date]) returns the last day of the year in which the Registration Date falls.
,,,,,
,,,,,"LastDayOfYear(Todate(""August 4, 2009"")) returns 12-31-2009"
Text,Left,"(Text t, Number n)",Text,Returns the leftmost n characters from the Text argument t.,"Left(""abcd"", 2) returns ""ab"""
Text,Left,"(Text t, Text d)",Text,"Returns the left part of a text value up to but not including the first occurrence of a delimiter character. The first argument, t, is the value to be searched. The second argument, d, is a text value containing all the possible delimiter characters.","Left(""abc/def"","";/,"") returns ""abc"""
,,,,,"Left(""Michael Smith"", "" "") returns ""Michael"""
Text,Length,(Text t),Number,Returns the number of characters in t.,"Length(""abc"") returns 3"
Text,List,"(Text d, Text t1, Text t2, ...)",Text,"Concatenates (strings together) all arguments starting with the second argument, using the first argument as the delimiter between them. If one of the arguments is blank, it and the corresponding delimiter are omitted.","List(""-"", ""a"", ""b"", ""d"") returns ""a-b-d"""
,,,,,
,,,,,"List("", "", ""a"", ""b"", """", ""d"") returns ""a, b, d"""
,,,,,
,,,,,"List("", "", [Last Name], [First Name]) returns ""Last Name, First Name"" if both fields are not empty, returns ""Last Name"" if [First Name] is empty, and returns ""First Name"" if [Last Name] is empty."
,,,,,
,,,,,"List(""\n"", ""Name"", ""Address Line 1"", """", List("", "", ""City"", ""State""), ""Zip"") returns"
,,,,,"""Name"
,,,,,Address Line 1
,,,,,"City, State"
,,,,,"Zip"""
Numbers,Ln,(Number n),Number,Returns the natural (base e) logarithm of n.,Exp(Ln(72)) returns 72
Numbers,Log,(Number n),Number,Returns the base 10 logarithm of n.,Log(100) returns 2
,,,,,10 ^ Log(72) returns 72
Text,Lower,(Text t),Text,Returns t converted to lower case.,"Lower(""ABC"") returns ""abc"""
Aggregation,Max,"(<any> x, <any> y, ...)",<same type as x and y>,"This function can take 2 or more arguments of any data type, as long as they are all the same type. The result is the same data type as the arguments. Null values are ignored. For Numbers, returns the argument that is greatest. For Text, returns the argument that sorts last alphabetically. For Durations, returns the argument that is longest. For Dates returns the argument that is latest. For Date/Time, returns the argument that is latest. For TimeOfDays, returns the argument that is latest. For Booleans returns the argument that is largest, treating false as less than true.","Max (Days(2), Weeks(1)) returns 1 week"
,,,,,"Max (10, 20, 30, 40) returns 40"
,,,,,"Max (10, null, 30) returns 30"
,,,,,"Max (null, null, null) returns null"
Text,Mid,"(Text t, Number p, Number n)",Text,"Returns n characters from the middle of t, starting at position p. The first character is position 1.","Mid(""abcd"", 2, 3) returns ""bcd"""
,,,,,"Mid(""abcd"", 4, 4) returns ""d"""
Aggregation,Min,"(<any> x, <any> y, ...)",<same type as x and y>,"This function can take 2 or more arguments of any data type, as long as they are all the same type. The result is the same data type as the arguments. Null values are ignored. For Numbers, returns the argument that is least. For Text, returns the argument that sorts first alphabetically. For Durations, returns the argument that is shortest. For Dates returns the argument that is earliest. For Date/Time, returns the argument that is earliest. For TimeOfDays, returns the argument that is earliest. For Booleans returns the argument that is smallest, treating false as less than true.","Min (10, 20, 30, 40) returns 10"
,,,,,"Min ([Date1], [Date2]) returns whichever date field's value is earlier"
,,,,,"Min (Days(2), Weeks(1)) returns 2 days"
,,,,,"in (10, null, 30) returns 10"
,,,,,"Min (null, null, null) returns null"
TimeOfDay,Minute,(TimeOfDay t),Number,Returns the minute part of the argument t. The minute is in the range 0 to 59.,"Minute(ToTimeOfDay(""3:04pm"")) returns 4"
Durations,Minutes,(Number n),Duration,"Returns a Duration representing n minutes. This function takes a number and converts it into a Duration type value, expressed in minutes.",minutes(42) returns a duration of 42 minutes.
,,,,,"Minutes([Test Length in Minutes]) converts the numeric value in the Test Length in Minutes field into a duration expressed in minutes. The number doesn't change, just the data type."
,,,,,[Start Time] + minutes(90) returns the time of day that 90 minutes after the time of day in the Start Time field.
